사용월,호선명,역ID,지하철역, 4:00, 5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00,01:00,02:00,03:00
Nov-19,3호선,326,압구정,65,3302,8768,18085,32928,25200,28695,37926,45819,51789,61852,69904,80422,97363,153273,110313,84339,65995,50171,17647,2312,6,0,0
Nov-19,3호선,327,신사,86,4164,6869,12999,22712,19878,21219,27951,35547,43514,52388,62064,75491,99207,152523,110724,76376,83220,72293,30837,4183,1,0,0
Nov-19,3호선,328,잠원,11,1534,6282,18409,29600,18917,12352,12274,11541,11752,10022,10674,12433,14144,14114,7940,5361,4947,3690,1219,158,0,0,0
Nov-19,3호선,329,고속터미널,226,7350,8512,28446,56552,66845,71648,86109,103726,117777,129127,142412,156585,177691,170805,155561,170254,121736,81838,31328,3188,1,0,0
Nov-19,3호선,330,교대(법원.검찰청),11,1291,3395,9962,14711,12128,13470,17663,19390,24917,28272,29742,32692,46727,73122,33842,31453,30903,27394,10911,1681,0,0,0
Nov-19,3호선,331,남부터미널(예술의전당),53,3145,8888,30524,53182,46773,46195,50810,55425,57460,58525,61364,74059,106247,159999,79336,61721,56834,45102,16272,1848,0,0,0
Nov-19,3호선,332,양재(서초구청),147,5974,15104,37873,54981,41279,37303,42691,50541,59972,63878,73013,89778,135707,230388,113803,80356,78465,60085,21520,2341,0,0,0
Nov-19,3호선,333,매봉,22,1580,6452,16810,23087,16636,13661,14390,14005,15403,17969,19552,23254,34078,65942,25562,16236,17092,11281,4013,488,0,0,0
Nov-19,3호선,334,도곡,36,1084,3740,10464,15243,10262,7944,8283,8392,9686,9682,11384,14705,18741,22797,11988,7558,7453,5184,1748,245,0,0,0
Nov-19,3호선,335,대치,8,2737,12179,29821,33861,21079,15954,16151,18162,19595,17648,20630,24404,31753,32711,25039,16070,20203,32280,4433,544,0,0,0
Nov-19,3호선,336,학여울,1,506,1660,4304,5375,3818,3112,3969,5507,6314,7135,8758,10776,12050,11164,3761,2516,2352,1620,377,58,0,0,0
Nov-19,3호선,337,대청,37,4037,10551,30285,38305,23735,18224,16882,16588,17364,15697,18279,26160,25767,29785,13071,9498,8524,6141,2292,291,1,0,0
Nov-19,3호선,338,일원,12,2183,8389,24969,27557,19645,18635,20047,20960,18441,19122,22589,29593,34943,19879,11427,9410,6805,4236,1497,206,0,0,0
Nov-19,3호선,339,수서,195,5033,13168,40181,52987,37190,36968,29185,35571,34265,26036,35210,42253,46559,60378,28661,26362,18342,17935,9492,1112,0,0,0
Nov-19,3호선,340,가락시장,13,2788,7548,23394,28395,20924,17361,17025,16835,17277,16749,17485,19603,22033,33072,14998,12127,11463,9060,3815,514,0,0,0
Nov-19,3호선,341,경찰병원,7,2595,7261,24839,30702,19249,13942,12723,11574,12593,12337,11899,12790,17039,23255,8809,6499,6099,4351,1482,224,0,0,0
Nov-19,3호선,342,오금,10,3706,7980,28421,36779,19211,11796,10380,10615,10038,8184,8004,9463,12127,15052,6342,4453,4082,3507,1147,162,0,0,0
Nov-19,4호선,409,당고개,71,9486,18303,57157,58925,37830,26495,23230,22350,21943,19758,18907,21169,21961,20050,13811,8381,6638,5125,2420,485,2,0,0
Nov-19,4호선,410,상계,84,14413,36515,102194,97208,55560,38224,33197,33844,32953,27119,25957,30727,29192,28441,18023,13672,12670,12775,4673,807,5,0,0
Nov-19,4호선,411,노원,108,13106,27083,61897,70360,42118,33348,32139,34838,35213,33416,34538,39394,40684,41649,31040,32543,29585,29715,15278,2801,3,0,0
Nov-19,4호선,412,창동,1945,18021,38397,111490,103019,66152,50094,47931,48944,47653,44278,45662,51888,55246,57412,31177,24587,23692,20703,9977,1630,0,0,0
Nov-19,4호선,413,쌍문,113,24487,54961,144100,158903,97760,65125,55001,54511,49460,41964,40553,44372,45521,43338,28704,20054,17009,13323,6659,1104,1,1,0
Nov-19,4호선,414,수유(강북구청),115,22413,47102,131617,154928,96832,65131,58971,61963,61196,55274,55306,61084,67041,76480,46268,35283,31004,26110,15439,2580,3,0,0
Nov-19,4호선,415,미아(서울사이버대학),22,11124,21929,57725,66519,42510,29527,27861,29626,28963,27778,27152,29169,34226,34384,20664,15189,12931,10893,3924,612,0,0,0
Nov-19,4호선,416,미아사거리,52,15669,39193,107024,125156,75382,50568,46075,49079,49528,46686,50032,54829,54133,55426,40340,38215,24761,19816,10563,1801,0,0,0
Nov-19,4호선,417,길음,23,10080,30439,93034,106252,59726,39471,34306,36559,36515,33770,37227,41865,49105,48257,27664,20282,16540,15934,7112,1204,3,0,0
Nov-19,4호선,418,성신여대입구(돈암),60,6115,19228,53504,69961,47379,35092,35379,40263,40201,41220,44739,47845,58451,63062,40318,35439,38425,36170,18332,2976,0,0,0
Nov-19,4호선,419,한성대입구(삼선교),75,7923,13955,36177,48604,33092,24472,24736,28081,29863,29526,32585,39702,40242,41080,24396,21798,21099,17507,8255,1306,2,0,0
